# Sensor type: Respeck
# Activity type: Sitting
# Activity subtype: Talking
# Subject id: s1862623
# Notes: 
timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
1695729970669,0.06591797,-0.9927368,0.24310303,-7.609375,-1.5625,-1.0625
1695729970698,0.04296875,-0.975647,0.26800537,3.84375,0.265625,-0.171875
1695729970742,0.03564453,-0.98101807,0.24749756,-4.1875,0.4375,-0.359375
1695729970787,0.03564453,-0.9800415,0.2687378,-1.578125,0.34375,0.28125
1695729970817,0.061035156,-1.0037231,0.29901123,1.140625,-0.4375,-0.75
1695729970862,0.063964844,-1.0132446,0.2682495,-1.609375,0.0,-3.1875
1695729970922,0.020996094,-0.96588135,0.29803467,4.140625,-3.75,1.40625
1695729970941,-0.007080078,-0.9517212,0.25506592,-8.8125,-0.484375,-3.046875
1695729970982,0.0075683594,-0.97198486,0.30145264,0.59375,3.84375,0.015625
1695729971012,0.041015625,-1.005188,0.31219482,2.125,9.5,3.953125
1695729971059,0.053955078,-0.986145,0.3295288,15.296875,10.265625,3.03125
1695729971103,0.045654297,-1.041565,0.21624756,7.390625,6.453125,-1.28125
1695729971132,0.1430664,-0.93829346,0.18182373,-8.59375,0.234375,-6.359375
1695729971177,0.037597656,-0.98516846,0.19281006,7.34375,0.828125,1.015625
1695729971256,-0.0234375,-1.0027466,0.22625732,-3.015625,0.765625,-2.265625
1695729971260,0.060546875,-0.99957275,0.25286865,0.46875,3.5625,4.640625
1695729971298,0.07104492,-1.0003052,0.2597046,5.59375,2.515625,5.75
1695729971329,0.06933594,-0.958313,0.25823975,-5.46875,-3.3125,-1.734375
1695729971372,0.057617188,-0.98101807,0.24993896,-5.203125,1.15625,-0.875
1695729971418,0.025390625,-1.0291138,0.22357178,1.8125,2.5,1.734375
1695729971447,0.05419922,-0.99713135,0.2880249,-3.3125,1.71875,-4.0625
1695729971507,0.029541016,-0.973938,0.2921753,5.5625,5.203125,0.546875
1695729971553,-0.01928711,-0.9578247,0.23016357,-8.90625,2.890625,-2.234375
1695729971568,0.014160156,-0.95196533,0.25994873,-2.21875,4.078125,0.375
1695729971613,0.07543945,-1.0393677,0.2579956,-5.671875,5.65625,0.65625
1695729971643,0.06542969,-1.0230103,0.2831421,-0.8125,4.046875,-2.296875
1695729971688,0.052978516,-1.0039673,0.23699951,3.296875,0.609375,-1.078125
1695729971735,0.08203125,-0.940979,0.24993896,-0.6875,2.578125,-0.5
1695729971765,0.030273438,-0.98883057,0.23162842,-0.34375,2.171875,-1.4375
1695729971809,0.016845703,-0.9961548,0.25775146,0.125,3.8125,-0.578125
1695729971854,0.07421875,-1.013977,0.25872803,-10.203125,2.65625,0.21875
1695729971882,0.07080078,-0.9536743,0.3053589,4.671875,2.546875,0.84375
1695729971928,0.026611328,-1.0234985,0.25897217,-3.75,1.484375,0.640625
1695729971958,0.033691406,-0.9451294,0.2868042,-6.15625,1.078125,-2.640625
1695729972004,0.04296875,-0.9915161,0.2645874,2.671875,0.546875,-0.328125
1695729972048,0.02758789,-0.9656372,0.2970581,-3.09375,0.984375,0.390625
1695729972079,0.04321289,-1.0332642,0.27069092,1.3125,1.15625,0.4375
1695729972123,0.0546875,-0.9885864,0.27142334,0.421875,1.65625,-1.75
1695729972168,0.001953125,-0.9636841,0.2814331,13.484375,1.78125,2.9375
1695729972198,0.046142578,-1.000061,0.24334717,-4.984375,-2.6875,-0.4375
1695729972243,0.07519531,-0.9795532,0.27923584,-8.90625,0.546875,-2.984375
1695729972275,0.0021972656,-0.99664307,0.24285889,8.28125,0.203125,-0.21875
1695729972319,0.029785156,-0.97540283,0.2736206,-2.703125,3.65625,0.5
1695729972363,0.0390625,-1.0049438,0.25994873,2.375,3.140625,1.140625
1695729972393,0.04638672,-0.97735596,0.25115967,-1.953125,2.71875,-0.6875
1695729972440,0.03540039,-0.98565674,0.2423706,-1.0,1.28125,-0.53125
1695729972499,0.043701172,-0.97540283,0.2675171,1.171875,0.40625,-1.109375
1695729972528,0.025878906,-1.0088501,0.26385498,0.328125,1.53125,-0.875
1695729972559,0.015380859,-0.9920044,0.23699951,-6.328125,-0.828125,-3.265625
1695729972588,0.020507812,-0.98443604,0.26898193,-0.125,3.171875,1.984375
1695729972634,0.018310547,-0.9961548,0.28070068,0.5625,3.875,1.734375
1695729972679,0.048828125,-0.96173096,0.28167725,-0.390625,0.953125,-0.203125
1695729972709,0.06665039,-0.9949341,0.26312256,-1.828125,0.28125,-0.578125
1695729972753,0.020507812,-0.99835205,0.25628662,6.59375,2.65625,1.453125
1695729972797,0.017578125,-0.9951782,0.27166748,2.703125,0.859375,-0.9375
1695729972827,0.025634766,-0.98760986,0.28240967,1.15625,2.25,2.921875
1695729972872,0.04638672,-1.0076294,0.22576904,-0.71875,1.4375,2.796875
1695729972903,0.04711914,-0.96539307,0.25531006,-4.015625,2.546875,-2.359375
1695729972949,0.014892578,-0.97247314,0.2687378,6.59375,1.265625,2.265625
1695729972996,0.08203125,-1.010315,0.2501831,-4.46875,3.171875,0.15625
1695729973024,0.06762695,-1.0081177,0.23529053,-0.53125,-0.734375,-2.5625
1695729973070,4.8828125E-4,-0.9365845,0.26141357,1.109375,0.265625,0.96875
1695729973114,0.037841797,-0.9976196,0.25946045,-3.5625,0.796875,-0.53125
1695729973144,0.050048828,-0.99835205,0.2584839,-2.609375,2.703125,-0.03125
1695729973191,0.022460938,-0.9751587,0.2514038,-0.359375,3.359375,2.0625
1695729973219,0.048828125,-0.9717407,0.2711792,1.28125,4.546875,1.1875
1695729973265,0.068603516,-1.017395,0.2736206,4.484375,3.65625,0.90625
1695729973309,0.0075683594,-0.9927368,0.22357178,-4.609375,1.03125,2.125
