,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,1695730925193,-0.5332031,0.26409912,1.0060425,8.796875,9.40625,-0.953125
1,1695730925240,-0.5905762,0.19281006,1.1264038,26.359375,3.109375,5.375
2,1695730925268,-0.5930176,0.07977295,0.8534546,17.671875,2.40625,10.625
3,1695730925314,-0.5666504,-0.04888916,0.96429443,5.890625,10.90625,14.609375
4,1695730925360,-0.5251465,0.016296387,0.9232788,14.28125,4.8125,2.90625
5,1695730925390,-0.4897461,0.07879639,0.96258545,8.390625,2.53125,2.453125
6,1695730925438,-0.4777832,0.10443115,0.95843506,-2.03125,-4.09375,1.046875
7,1695730925479,-0.52612305,0.07928467,0.92401123,-12.0625,-12.875,0.234375
8,1695730925509,-0.6557617,0.13128662,0.73236084,-43.21875,-29.40625,-3.53125
9,1695730925553,-0.48706055,0.15740967,0.98724365,-28.828125,-0.203125,-27.125
10,1695730925598,-0.53759766,0.2267456,1.1046753,-9.796875,14.21875,-8.90625
11,1695730925628,-0.50268555,0.27093506,0.9738159,16.0,-3.09375,-1.203125
12,1695730925673,-0.6574707,0.074157715,1.0245972,8.59375,-8.90625,1.484375
13,1695730925703,-0.6364746,0.11663818,0.89276123,3.65625,-2.03125,1.359375
14,1695730925749,-0.45458984,0.11663818,0.92523193,-20.5625,7.09375,7.234375
15,1695730925801,-0.5859375,0.15692139,0.8722534,-6.625,4.359375,0.21875
16,1695730925824,-0.59228516,0.22991943,0.9567261,3.65625,-3.6875,5.390625
17,1695730925870,-0.5463867,0.24847412,0.9398804,7.65625,5.859375,7.578125
18,1695730925913,-0.5529785,0.1984253,0.94525146,7.375,3.1875,2.40625
19,1695730925944,-0.62158203,0.18060303,0.85980225,-2.15625,-5.296875,-0.109375
20,1695730925989,-0.67407227,0.12054443,0.9591675,9.078125,-7.265625,-4.265625
21,1695730926021,-0.45288086,0.06976318,0.9454956,-18.53125,6.53125,-12.625
22,1695730926066,-0.6208496,0.276062,0.9628296,-7.453125,-1.90625,-14.546875
23,1695730926111,-0.55493164,0.2518921,0.9838257,-11.1875,9.765625,-6.375
24,1695730926139,-0.57250977,0.2062378,1.048523,24.34375,9.15625,6.734375
25,1695730926187,-0.6166992,0.09588623,0.88568115,12.609375,-4.125,9.21875
26,1695730926231,-0.55981445,0.13543701,0.9328003,3.6875,6.484375,9.828125
27,1695730926260,-0.5449219,0.07635498,0.914978,15.0,9.703125,6.28125
28,1695730926305,-0.51123047,0.12347412,0.902771,7.203125,-0.34375,4.421875
29,1695730926334,-0.52441406,0.18133545,0.94207764,1.5,-2.921875,3.234375
30,1695730926379,-0.5126953,0.15960693,0.8407593,-8.5625,-6.203125,-0.8125
31,1695730926425,-0.6101074,0.09075928,0.90911865,-10.4375,10.453125,-8.046875
32,1695730926456,-0.513916,0.20648193,1.0653687,-38.59375,-5.359375,-27.75
33,1695730926500,-0.64746094,0.28460693,1.0570679,-13.0625,2.859375,-12.1875
34,1695730926578,-0.5307617,0.28729248,1.0099487,-12.078125,11.15625,-7.015625
35,1695730926582,-0.5517578,0.28070068,1.0021362,9.671875,-14.53125,-1.875
36,1695730926620,-0.5061035,0.1408081,0.9215698,18.625,14.5,7.265625
37,1695730926656,-0.51293945,0.03656006,0.9489136,5.40625,-1.34375,10.8125
38,1695730926696,-0.48632812,0.03753662,0.9369507,-0.125,-1.75,5.609375
39,1695730926739,-0.5739746,0.16619873,0.9203491,12.640625,2.265625,4.0
40,1695730926770,-0.5822754,0.2765503,0.9503784,13.34375,1.3125,11.03125
41,1695730926816,-0.48388672,0.25286865,0.9520874,9.640625,-3.203125,4.671875
42,1695730926860,-0.5773926,0.21063232,0.92474365,9.203125,-0.71875,4.0
43,1695730926890,-0.59643555,0.10638428,0.8900757,-1.75,1.78125,0.6875
44,1695730926935,-0.6213379,0.09906006,0.854187,-4.375,-1.78125,-1.5
45,1695730926967,-0.56689453,0.093688965,1.0101929,9.703125,15.828125,-3.984375
46,1695730927010,-0.5522461,0.14276123,0.9257202,-16.15625,1.21875,-10.046875
47,1695730927055,-0.6611328,0.15350342,0.789978,-42.921875,-8.921875,-11.6875
48,1695730927085,-0.3527832,0.2772827,1.0162964,-31.0625,18.890625,-17.578125
49,1695730927131,-0.51660156,0.38226318,0.9984741,-8.84375,-0.015625,-3.84375
50,1695730927176,-0.49487305,0.36541748,1.1554565,17.96875,-15.703125,4.234375
51,1695730927220,-0.57128906,0.10638428,0.8451538,18.0625,3.984375,14.71875
52,1695730927272,-0.60009766,0.06097412,0.8305054,13.890625,-4.109375,14.953125
53,1695730927279,-0.5161133,-0.042541504,0.78704834,3.890625,18.703125,0.375
54,1695730927324,-0.46704102,0.26068115,1.0236206,-13.328125,5.203125,-5.375
55,1695730927371,-0.60839844,0.41033936,0.95355225,-22.75,-23.921875,-5.0625
56,1695730927399,-0.4572754,0.26263428,0.96551514,-25.578125,4.21875,-10.75
57,1695730927446,-0.54296875,0.41741943,1.0150757,6.828125,5.453125,1.46875
58,1695730927490,-0.5407715,0.33416748,0.951355,9.546875,-10.328125,10.9375
59,1695730927520,-0.61083984,0.18499756,0.9057007,16.34375,11.3125,17.25
60,1695730927567,-0.68530273,-0.04034424,0.9359741,17.21875,4.296875,11.265625
61,1695730927596,-0.5266113,0.04876709,0.93133545,26.8125,9.453125,-0.140625
62,1695730927639,-0.46923828,0.10272217,0.949646,12.3125,4.171875,-0.046875
63,1695730927685,-0.5065918,0.17108154,0.90545654,4.0625,-4.5625,2.59375
64,1695730927718,-0.5083008,0.26116943,0.9154663,-0.375,-5.875,4.109375
65,1695730927760,-0.5229492,0.19232178,0.88323975,-5.3125,-4.578125,4.71875
66,1695730927805,-0.6713867,0.05316162,0.7802124,-12.265625,6.390625,-2.671875
67,1695730927835,-0.6328125,0.2555542,1.0106812,-26.4375,-17.5,-13.640625
68,1695730927881,-0.55688477,0.14788818,1.0355835,-0.140625,12.109375,-4.765625
69,1695730927909,-0.46313477,0.19158936,0.98773193,0.0625,3.59375,-9.78125
70,1695730927957,-0.5786133,0.22332764,1.0216675,17.984375,-13.609375,1.5625
71,1695730928015,-0.6411133,0.044128418,0.93255615,6.515625,1.90625,12.875
72,1695730928030,-0.5617676,-0.020568848,0.9008179,2.828125,9.8125,11.484375
73,1695730928077,-0.5349121,0.07220459,0.86834717,0.6875,10.3125,4.625
74,1695730928121,-0.54907227,0.14910889,0.95111084,6.03125,2.84375,4.875
75,1695730928151,-0.52905273,0.19525146,0.9484253,0.71875,-3.40625,8.234375
76,1695730928195,-0.50219727,0.19598389,0.9047241,-7.828125,-5.71875,6.359375
77,1695730928225,-0.55029297,0.184021,0.8915405,-10.328125,-3.140625,1.640625
78,1695730928271,-0.6911621,0.11541748,0.7316284,-9.921875,-7.140625,-4.171875
79,1695730928316,-0.51220703,0.1437378,1.0536499,2.859375,-19.890625,-16.015625
80,1695730928345,-0.5061035,0.06317139,1.0687866,-3.796875,0.296875,-7.78125
81,1695730928391,-0.62768555,0.12615967,1.0338745,7.6875,-6.421875,-2.140625
82,1695730928435,-0.67993164,0.16937256,0.8451538,-2.71875,0.578125,-2.984375
83,1695730928467,-0.5756836,0.18157959,0.9581909,-11.125,12.46875,6.125
84,1695730928512,-0.60375977,0.1539917,0.89642334,-7.25,12.34375,3.671875
85,1695730928542,-0.6074219,0.066833496,0.94818115,7.90625,12.8125,4.8125
86,1695730928587,-0.5505371,0.14447021,0.9413452,10.03125,-1.484375,5.984375
87,1695730928647,-0.5476074,0.17791748,0.92523193,5.171875,0.171875,6.953125
88,1695730928660,-0.51464844,0.21136475,0.9274292,6.421875,3.671875,5.03125
89,1695730928706,-0.53930664,0.152771,0.92059326,4.484375,3.0,-0.453125
90,1695730928751,-0.6257324,0.08807373,0.9203491,6.59375,3.046875,-1.5625
91,1695730928781,-0.56884766,0.050231934,0.9501343,8.09375,3.9375,-3.0625
92,1695730928824,-0.55078125,0.08514404,0.9489136,8.390625,6.09375,0.515625
93,1695730928856,-0.55981445,0.081970215,0.9540405,4.484375,3.890625,2.53125
94,1695730928902,-0.5385742,0.077819824,0.94451904,1.171875,-0.25,3.5625
95,1695730928950,-0.57128906,0.090270996,0.916687,2.578125,-3.96875,3.984375
96,1695730928974,-0.61206055,0.16815186,0.9137573,7.484375,-17.890625,2.09375
97,1695730929020,-0.5583496,-0.007873535,1.0189819,-7.671875,-15.890625,-3.34375
98,1695730929066,-0.6413574,0.051452637,0.87615967,-11.484375,-19.8125,-14.703125
99,1695730929097,-0.60839844,0.18304443,0.90740967,-25.4375,-2.734375,-12.109375
100,1695730929140,-0.63134766,0.13861084,0.92108154,-18.859375,7.203125,-10.078125
101,1695730929186,-0.6657715,0.13323975,1.0206909,-6.40625,16.359375,-9.046875
102,1695730929216,-0.6437988,0.13104248,0.8756714,11.484375,14.625,3.9375
103,1695730929260,-0.47021484,0.14544678,0.8656616,10.4375,7.796875,8.0
104,1695730929290,-0.5876465,0.051452637,0.87176514,-1.328125,-2.234375,1.8125
105,1695730929335,-0.54833984,0.15545654,0.94744873,-5.421875,-0.421875,-3.734375
106,1695730929379,-0.5449219,0.24554443,0.96673584,-20.140625,-3.328125,-8.953125
107,1695730929411,-0.5654297,0.26361084,0.89959717,-26.4375,0.046875,-8.328125
108,1695730929456,-0.6296387,0.29022217,0.97772217,-16.671875,4.546875,-1.40625
109,1695730929500,-0.5859375,0.24334717,0.9772339,9.9375,7.03125,7.515625
110,1695730929531,-0.57910156,0.1954956,0.9977417,25.0625,9.265625,5.25
111,1695730929575,-0.59155273,0.027038574,0.7736206,9.46875,4.78125,8.21875
112,1695730929605,-0.56396484,0.024841309,0.92059326,8.34375,8.90625,4.65625
113,1695730929649,-0.4970703,0.09710693,0.91741943,-4.359375,5.734375,-0.046875
114,1695730929694,-0.5239258,0.30194092,0.9735718,-6.109375,-2.375,4.640625
115,1695730929726,-0.5554199,0.2682495,1.0040894,-0.609375,-8.96875,7.171875
116,1695730929770,-0.55688477,0.14447021,0.8756714,-3.28125,-5.96875,6.96875
117,1695730929846,-0.6281738,0.19891357,0.94573975,-5.0625,-0.875,6.71875
118,1695730929848,-0.62890625,0.09710693,0.9035034,-4.96875,-7.40625,1.078125
119,1695730929890,-0.57299805,0.026550293,0.9262085,-11.96875,-1.234375,-7.28125
120,1695730929920,-0.45410156,0.20697021,0.96209717,-8.609375,3.703125,-18.25
121,1695730929995,-0.56640625,0.2579956,0.99554443,-9.390625,1.4375,-3.5
122,1695730930009,-0.55981445,0.21624756,1.0663452,14.71875,5.078125,0.40625
123,1695730930040,-0.73046875,0.21844482,0.88079834,29.25,-2.125,7.484375
124,1695730930087,-0.5842285,0.17279053,0.9142456,6.953125,-1.4375,12.96875
125,1695730930131,-0.5673828,0.08392334,0.88153076,9.890625,7.640625,3.984375
126,1695730930161,-0.5786133,0.0758667,0.9232788,9.65625,13.5625,-0.765625
127,1695730930203,-0.5239258,0.15301514,0.94403076,8.90625,8.78125,1.125
128,1695730930234,-0.5175781,0.15081787,0.9369507,6.15625,1.203125,2.5625
129,1695730930280,-0.5559082,0.1071167,0.9122925,3.21875,-1.5625,0.796875
130,1695730930325,-0.57006836,0.07684326,0.93573,-7.0625,-3.0,-0.546875
131,1695730930361,-0.5996094,0.06463623,0.8446655,-20.421875,-5.609375,-3.015625
132,1695730930401,-0.7270508,0.08026123,0.8383179,-44.03125,3.046875,-17.75
133,1695730930446,-0.34399414,0.28338623,1.1027222,-26.578125,13.40625,-16.671875
134,1695730930479,-0.513916,0.3480835,1.0175171,-6.796875,4.8125,-0.84375
135,1695730930520,-0.58154297,0.2477417,1.0194702,7.890625,-12.625,2.828125
136,1695730930551,-0.59350586,0.20574951,0.88934326,18.84375,-3.5,10.484375
137,1695730930597,-0.5554199,0.06976318,0.97650146,18.515625,1.203125,14.625
138,1695730930640,-0.57055664,0.04095459,0.8817749,6.265625,1.484375,4.65625
