# Sensor type: Thingy
# Activity type: Lying down on stomach
# Activity subtype: Normal
# Subject id: s1862623
# Notes: test1
timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
1695727402792,-0.08105469,-0.17578125,-1.0498047,-0.0625,-0.1875,-0.03125,0.0,0.0,0.0
1695727402826,-0.072265625,-0.1796875,-1.0527344,-0.0625,-0.3125,-0.03125,0.0,0.0,0.0
1695727402868,-0.08496094,-0.17578125,-1.0449219,0.0,-0.1875,-0.03125,0.0,0.0,0.0
1695727402908,-0.07324219,-0.17480469,-1.046875,-0.0625,-0.1875,-0.03125,0.0,0.0,0.0
1695727402947,-0.06933594,-0.16503906,-1.0556641,0.0,-0.1875,-0.03125,2.6875,-42.6875,-210.9375
1695727402987,-0.09082031,-0.17382812,-1.0458984,-0.15625,-0.1875,-0.03125,0.0,0.0,0.0
1695727403027,-0.080078125,-0.16015625,-1.0576172,-0.0625,-0.125,0.03125,0.0,0.0,0.0
1695727403067,-0.07519531,-0.17089844,-1.0546875,-0.0625,-0.1875,0.03125,0.0,0.0,0.0
1695727403108,-0.083984375,-0.16894531,-1.0488281,-0.0625,-0.25,-0.03125,0.0,0.0,0.0
1695727403148,-0.080078125,-0.17089844,-1.0488281,-0.0625,-0.3125,-0.03125,0.0,0.0,0.0
1695727403188,-0.07324219,-0.16796875,-1.0517578,-0.15625,-0.3125,0.03125,0.0,0.0,0.0
1695727403229,-0.07910156,-0.16796875,-1.0527344,-0.0625,-0.125,-0.03125,0.0,0.0,0.0
1695727403267,-0.08496094,-0.17382812,-1.0664062,-0.0625,-0.1875,-0.03125,0.0,0.0,0.0
1695727403309,-0.08203125,-0.17675781,-1.0507812,0.0,0.0,-0.03125,0.0,0.0,0.0
1695727403348,-0.07421875,-0.16894531,-1.0458984,-0.15625,-0.1875,0.03125,0.0,0.0,0.0
1695727403392,-0.08203125,-0.17773438,-1.0478516,-0.0625,0.0,-0.03125,0.0,0.0,0.0
1695727403428,-0.07421875,-0.17089844,-1.0576172,0.0,0.0625,-0.03125,0.0,0.0,0.0
1695727403468,-0.078125,-0.17285156,-1.0605469,-0.0625,-0.0625,-0.09375,1.8125,-43.3125,-211.375
1695727403508,-0.078125,-0.16894531,-1.0517578,0.0,0.0625,-0.09375,0.0,0.0,0.0
1695727403548,-0.08105469,-0.17578125,-1.0595703,0.0625,0.0625,-0.15625,0.0,0.0,0.0
1695727403588,-0.07421875,-0.16796875,-1.0576172,-0.0625,-0.25,-0.03125,0.0,0.0,0.0
1695727403628,-0.07910156,-0.17675781,-1.0556641,-0.15625,-0.0625,-0.09375,0.0,0.0,0.0
1695727403667,-0.076171875,-0.16894531,-1.0478516,-0.0625,0.0625,0.03125,0.0,0.0,0.0
1695727403707,-0.08105469,-0.17285156,-1.0566406,-0.0625,0.0625,-0.03125,0.0,0.0,0.0
1695727403769,-0.07714844,-0.16894531,-1.0429688,0.0,0.0625,-0.09375,0.0,0.0,0.0
1695727403787,-0.083984375,-0.171875,-1.0537109,-0.0625,0.0,0.09375,0.0,0.0,0.0
1695727403828,-0.078125,-0.17480469,-1.0507812,0.0,0.125,-0.09375,0.0,0.0,0.0
1695727403869,-0.072265625,-0.18066406,-1.0488281,0.125,0.125,0.09375,0.0,0.0,0.0
1695727403908,-0.0703125,-0.17773438,-1.0439453,0.0,0.0625,0.03125,0.0,0.0,0.0
1695727403947,-0.08203125,-0.17871094,-1.046875,0.0625,0.125,-0.15625,2.6875,-43.1875,-210.9375
1695727403988,-0.07324219,-0.17578125,-1.0634766,0.0,0.0625,-0.03125,0.0,0.0,0.0
1695727404028,-0.072265625,-0.17675781,-1.0576172,0.0625,0.0625,0.09375,0.0,0.0,0.0
1695727404068,-0.07910156,-0.16503906,-1.0634766,-0.09375,-0.0625,-0.03125,0.0,0.0,0.0
1695727404107,-0.07128906,-0.171875,-1.0566406,-0.15625,-0.125,-0.09375,0.0,0.0,0.0
1695727404148,-0.080078125,-0.16699219,-1.0478516,-0.09375,0.0625,-0.03125,0.0,0.0,0.0
1695727404188,-0.076171875,-0.16113281,-1.0566406,-0.0625,0.0,-0.09375,0.0,0.0,0.0
1695727404228,-0.07324219,-0.16601562,-1.0566406,-0.0625,-0.0625,0.03125,0.0,0.0,0.0
1695727404268,-0.07910156,-0.16894531,-1.0585938,0.0,0.125,0.03125,0.0,0.0,0.0
1695727404308,-0.080078125,-0.17578125,-1.0478516,-0.0625,-0.0625,0.03125,0.0,0.0,0.0
1695727404348,-0.08300781,-0.17480469,-1.0546875,0.0625,0.125,-0.03125,0.0,0.0,0.0
1695727404391,-0.07519531,-0.17382812,-1.0498047,0.0,0.0625,0.03125,0.0,0.0,0.0
1695727404428,-0.07128906,-0.17285156,-1.0595703,-0.0625,-0.0625,-0.03125,0.0,0.0,0.0
1695727404468,-0.07421875,-0.16796875,-1.0634766,0.0,0.0625,0.03125,2.6875,-43.1875,-210.5
1695727404507,-0.072265625,-0.16992188,-1.0546875,0.0625,0.0625,-0.09375,0.0,0.0,0.0
1695727404548,-0.07519531,-0.17675781,-1.0556641,0.0,0.0625,0.03125,0.0,0.0,0.0
1695727404588,-0.07910156,-0.17285156,-1.0478516,0.0625,0.125,-0.03125,0.0,0.0,0.0
1695727404628,-0.083984375,-0.16796875,-1.0507812,-0.0625,-0.0625,0.03125,0.0,0.0,0.0
1695727404668,-0.07421875,-0.17382812,-1.0458984,-0.0625,-0.125,-0.09375,0.0,0.0,0.0
1695727404707,-0.078125,-0.17285156,-1.0410156,0.0,0.125,-0.09375,0.0,0.0,0.0
1695727404748,-0.07519531,-0.16699219,-1.0507812,0.0,0.0625,-0.09375,0.0,0.0,0.0
1695727404788,-0.078125,-0.17480469,-1.0527344,-0.09375,-0.125,0.03125,0.0,0.0,0.0
1695727404827,-0.07324219,-0.171875,-1.0419922,-0.15625,-0.1875,-0.03125,0.0,0.0,0.0
1695727404867,-0.078125,-0.17578125,-1.0527344,-0.09375,-0.125,0.15625,0.0,0.0,0.0
1695727404908,-0.080078125,-0.18261719,-1.0615234,0.0,0.0625,-0.21875,0.0,0.0,0.0
1695727404948,-0.06933594,-0.17480469,-1.046875,-0.09375,-0.1875,-0.09375,1.1875,-42.6875,-209.875
1695727404988,-0.07421875,-0.1796875,-1.0605469,0.0,0.0,-0.09375,0.0,0.0,0.0
1695727405027,-0.080078125,-0.171875,-1.0625,-0.09375,-0.1875,0.03125,0.0,0.0,0.0
1695727405068,-0.07324219,-0.17382812,-1.0556641,0.0,0.0,-0.09375,0.0,0.0,0.0
1695727405108,-0.07324219,-0.16796875,-1.0546875,0.0,0.125,-0.03125,0.0,0.0,0.0
1695727405147,-0.07324219,-0.17480469,-1.0576172,-0.0625,-0.125,-0.03125,0.0,0.0,0.0
1695727405188,-0.072265625,-0.1796875,-1.0537109,0.0625,0.0,-0.03125,0.0,0.0,0.0
1695727405228,-0.068359375,-0.17382812,-1.0507812,-0.09375,-0.125,0.03125,0.0,0.0,0.0
1695727405267,-0.080078125,-0.171875,-1.0478516,-0.0625,-0.125,-0.15625,0.0,0.0,0.0
1695727405308,-0.07910156,-0.17871094,-1.0439453,-0.15625,-0.0625,0.03125,0.0,0.0,0.0
1695727405348,-0.07910156,-0.171875,-1.0439453,0.0625,0.0,-0.03125,0.0,0.0,0.0
1695727405388,-0.080078125,-0.17773438,-1.0429688,-0.0625,-0.25,0.03125,0.0,0.0,0.0
1695727405428,-0.07421875,-0.171875,-1.0595703,-0.0625,-0.1875,0.03125,0.0,0.0,0.0
1695727405467,-0.08203125,-0.16894531,-1.0546875,-0.15625,-0.125,-0.09375,1.8125,-42.5625,-211.375
1695727405510,-0.080078125,-0.16894531,-1.0488281,-0.0625,-0.375,-0.03125,0.0,0.0,0.0
1695727405548,-0.06933594,-0.17089844,-1.0634766,-0.15625,-0.25,-0.09375,0.0,0.0,0.0
1695727405588,-0.07910156,-0.17480469,-1.0498047,-0.15625,-0.3125,0.09375,0.0,0.0,0.0
1695727405627,-0.07519531,-0.17285156,-1.046875,-0.0625,-0.1875,0.03125,0.0,0.0,0.0
1695727405667,-0.07714844,-0.17871094,-1.0537109,-0.0625,-0.1875,0.03125,0.0,0.0,0.0
1695727405708,-0.07421875,-0.18164062,-1.0556641,-0.0625,-0.25,-0.03125,0.0,0.0,0.0
1695727405749,-0.08496094,-0.17773438,-1.0507812,-0.09375,-0.3125,-0.09375,0.0,0.0,0.0
1695727405787,-0.08496094,-0.17480469,-1.0537109,0.0625,-0.0625,-0.09375,0.0,0.0,0.0
1695727405827,-0.080078125,-0.17089844,-1.0517578,0.125,-0.25,-0.09375,0.0,0.0,0.0
1695727405868,-0.072265625,-0.171875,-1.0498047,-0.0625,-0.3125,0.03125,0.0,0.0,0.0
1695727405907,-0.07714844,-0.171875,-1.0527344,-0.09375,-0.3125,-0.09375,0.0,0.0,0.0
1695727405948,-0.07519531,-0.171875,-1.0498047,-0.15625,-0.1875,0.03125,1.9375,-42.125,-211.25
1695727405990,-0.07910156,-0.171875,-1.0546875,-0.0625,-0.1875,0.03125,0.0,0.0,0.0
1695727406029,-0.07910156,-0.17578125,-1.0683594,-0.0625,-0.3125,-0.03125,0.0,0.0,0.0
1695727406070,-0.07910156,-0.16601562,-1.0498047,-0.0625,-0.3125,0.03125,0.0,0.0,0.0
1695727406108,-0.078125,-0.171875,-1.0585938,-0.0625,-0.375,0.09375,0.0,0.0,0.0
1695727406149,-0.07910156,-0.171875,-1.0644531,-0.0625,-0.25,-0.03125,0.0,0.0,0.0
1695727406208,-0.07421875,-0.171875,-1.0576172,-0.0625,-0.25,-0.03125,0.0,0.0,0.0
1695727406229,-0.07324219,-0.17578125,-1.0595703,-0.0625,-0.25,-0.09375,0.0,0.0,0.0
1695727406269,-0.06933594,-0.1796875,-1.0498047,-0.0625,-0.125,-0.03125,0.0,0.0,0.0
1695727406330,-0.06933594,-0.16992188,-1.0449219,-0.0625,-0.0625,0.03125,0.0,0.0,0.0
1695727406348,-0.07421875,-0.17578125,-1.0556641,-0.09375,-0.25,0.03125,0.0,0.0,0.0
1695727406390,-0.083984375,-0.17089844,-1.0439453,-0.09375,-0.125,-0.03125,0.0,0.0,0.0
1695727406429,-0.08105469,-0.17773438,-1.0595703,-0.0625,-0.0625,0.03125,0.0,0.0,0.0
1695727406470,-0.07714844,-0.17089844,-1.0595703,-0.0625,-0.3125,0.03125,3.4375,-42.125,-210.9375
1695727406509,-0.072265625,-0.16796875,-1.0488281,-0.09375,-0.25,-0.09375,0.0,0.0,0.0
1695727406553,-0.0859375,-0.17675781,-1.0527344,-0.0625,-0.0625,-0.03125,0.0,0.0,0.0
1695727406607,-0.0859375,-0.16992188,-1.046875,0.0,-0.0625,0.03125,0.0,0.0,0.0
1695727406628,-0.08691406,-0.17089844,-1.0371094,0.0,0.0625,-0.09375,0.0,0.0,0.0
1695727406669,-0.07714844,-0.17675781,-1.0507812,0.0625,0.125,-0.09375,0.0,0.0,0.0
1695727406710,-0.0703125,-0.18066406,-1.0458984,0.0,0.0,0.03125,0.0,0.0,0.0
1695727406750,-0.07421875,-0.16699219,-1.0498047,0.0,0.0,-0.15625,0.0,0.0,0.0
1695727406789,-0.07714844,-0.16796875,-1.0488281,0.0,-0.0625,-0.09375,0.0,0.0,0.0
1695727406831,-0.078125,-0.17871094,-1.046875,0.0,0.0625,-0.03125,0.0,0.0,0.0
1695727406869,-0.076171875,-0.16601562,-1.0576172,0.0,0.0625,-0.03125,0.0,0.0,0.0
1695727406909,-0.068359375,-0.17578125,-1.0478516,-0.0625,-0.125,-0.09375,0.0,0.0,0.0
1695727406949,-0.07421875,-0.16699219,-1.0449219,-0.21875,-0.0625,-0.15625,1.5,-44.0625,-208.25
1695727406989,-0.07714844,-0.16796875,-1.0595703,0.0,0.1875,-0.15625,0.0,0.0,0.0
1695727407030,-0.08105469,-0.17480469,-1.0576172,0.0,0.1875,-0.03125,0.0,0.0,0.0
1695727407071,-0.07519531,-0.17675781,-1.0507812,-0.09375,-0.1875,-0.09375,0.0,0.0,0.0
1695727407111,-0.07519531,-0.17285156,-1.0478516,0.0,0.0625,0.03125,0.0,0.0,0.0
1695727407150,-0.07324219,-0.17285156,-1.0439453,-0.0625,0.0,-0.09375,0.0,0.0,0.0
1695727407192,-0.08496094,-0.17871094,-1.0478516,0.0625,0.125,-0.09375,0.0,0.0,0.0
1695727407249,-0.078125,-0.17382812,-1.0449219,0.0,0.0,-0.09375,0.0,0.0,0.0
1695727407270,-0.08496094,-0.18261719,-1.0556641,-0.0625,-0.0625,-0.03125,0.0,0.0,0.0
1695727407332,-0.08496094,-0.171875,-1.046875,0.0,0.1875,-0.21875,0.0,0.0,0.0
1695727407349,-0.07519531,-0.17285156,-1.0615234,-0.09375,-0.0625,-0.15625,0.0,0.0,0.0
1695727407389,-0.08105469,-0.16113281,-1.0625,0.0,0.0,-0.03125,0.0,0.0,0.0
1695727407430,-0.0859375,-0.17382812,-1.0478516,0.125,0.1875,0.03125,0.0,0.0,0.0
1695727407470,-0.07519531,-0.17089844,-1.0498047,0.0,0.0,-0.15625,2.125,-42.25,-211.6875
1695727407512,-0.0703125,-0.16992188,-1.0517578,0.0,0.125,-0.03125,0.0,0.0,0.0
1695727407547,-0.087890625,-0.17675781,-1.0419922,-0.21875,-0.0625,-0.15625,0.0,0.0,0.0
1695727407589,-0.07519531,-0.16503906,-1.0585938,0.0,0.0625,-0.03125,0.0,0.0,0.0
1695727407630,-0.078125,-0.16699219,-1.0537109,0.125,0.0,-0.09375,0.0,0.0,0.0
1695727407669,-0.08203125,-0.16601562,-1.0625,0.0625,0.0625,-0.09375,0.0,0.0,0.0
1695727407709,-0.0703125,-0.1640625,-1.046875,0.0,0.0625,-0.09375,0.0,0.0,0.0
1695727407750,-0.07421875,-0.17089844,-1.0488281,0.0,0.0625,-0.09375,0.0,0.0,0.0
1695727407794,-0.08496094,-0.16796875,-1.0488281,0.0,0.0,-0.15625,0.0,0.0,0.0
1695727407828,-0.08105469,-0.17089844,-1.0517578,0.0,0.125,-0.15625,0.0,0.0,0.0
1695727407869,-0.080078125,-0.17480469,-1.0517578,-0.15625,-0.0625,-0.09375,0.0,0.0,0.0
1695727407910,-0.08105469,-0.16894531,-1.0625,-0.0625,0.0,-0.03125,0.0,0.0,0.0
1695727407954,-0.07910156,-0.171875,-1.0576172,0.0,0.0625,-0.15625,2.875,-43.3125,-210.8125
1695727407988,-0.07519531,-0.16699219,-1.0546875,0.0625,0.0625,-0.09375,0.0,0.0,0.0
1695727408029,-0.078125,-0.16601562,-1.0390625,0.0,0.0625,-0.09375,0.0,0.0,0.0
1695727408070,-0.07324219,-0.17675781,-1.0498047,0.0,0.0625,-0.09375,0.0,0.0,0.0
1695727408109,-0.08105469,-0.1796875,-1.0390625,0.0,0.0,-0.15625,0.0,0.0,0.0
1695727408152,-0.07128906,-0.15820312,-1.0654297,-0.0625,-0.0625,0.03125,0.0,0.0,0.0
1695727408188,-0.083984375,-0.17089844,-1.0449219,0.0,0.0625,-0.15625,0.0,0.0,0.0
1695727408274,-0.072265625,-0.16894531,-1.0517578,-0.0625,-0.0625,-0.03125,0.0,0.0,0.0
1695727408276,-0.07324219,-0.17578125,-1.0478516,-0.0625,-0.15625,-0.09375,0.0,0.0,0.0
1695727408309,-0.072265625,-0.17578125,-1.0507812,0.0,-0.03125,-0.03125,0.0,0.0,0.0
