# Sensor type: Respeck
# Activity type: Lying down on left
# Activity subtype: Hyperventilating
# Subject id: s1862623
# Notes: 
timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
1695730771715,-0.73876953,-0.16143799,-0.6428833,0.046875,0.984375,-0.125
1695730771790,-0.73046875,-0.15655518,-0.63946533,-0.65625,0.828125,0.5
1695730771791,-0.73706055,-0.15802002,-0.63726807,-1.25,0.765625,0.3125
1695730771833,-0.73876953,-0.16485596,-0.647522,-1.15625,0.671875,0.34375
1695730771879,-0.7314453,-0.15631104,-0.6392212,1.015625,1.3125,0.421875
1695730771909,-0.7348633,-0.16192627,-0.6482544,-1.125,0.296875,0.265625
1695730771953,-0.7409668,-0.15582275,-0.63653564,0.609375,2.25,0.375
1695730772000,-0.7414551,-0.17047119,-0.6477661,0.5625,2.0,-0.546875
1695730772043,-0.7507324,-0.15386963,-0.63360596,4.453125,4.421875,-1.046875
1695730772073,-0.74975586,-0.15533447,-0.6189575,10.90625,9.609375,-1.84375
1695730772103,-0.7626953,-0.13946533,-0.67315674,1.71875,5.71875,-1.9375
1695730772149,-0.7463379,-0.120666504,-0.6165161,5.15625,7.03125,-3.21875
1695730772193,-0.75390625,-0.1194458,-0.597229,6.484375,5.859375,-1.890625
1695730772225,-0.7897949,-0.13140869,-0.6255493,5.640625,10.171875,0.171875
1695730772288,-0.8339844,-0.11407471,-0.62823486,18.203125,20.453125,-0.484375
1695730772313,-0.82714844,-0.093811035,-0.6062622,24.15625,24.953125,-1.453125
1695730772346,-0.7980957,-0.069885254,-0.56866455,22.921875,25.125,2.09375
1695730772389,-0.7824707,-0.05206299,-0.5261841,4.6875,11.859375,1.4375
1695730772433,-0.81591797,-0.078186035,-0.5071411,5.265625,4.875,0.328125
1695730772463,-0.83325195,-0.05645752,-0.52789307,-9.59375,-8.484375,1.34375
1695730772508,-0.7792969,-0.070373535,-0.5733032,-16.9375,-18.03125,2.96875
1695730772539,-0.75561523,-0.081604004,-0.5552368,-27.28125,-24.125,2.796875
1695730772586,-0.8312988,-0.070129395,-0.56695557,-26.265625,-30.703125,4.328125
1695730772630,-0.77563477,-0.13922119,-0.64801025,-24.40625,-28.515625,-3.96875
1695730772659,-0.6989746,-0.16534424,-0.628479,-17.34375,-12.1875,-1.25
1695730772705,-0.7272949,-0.22491455,-0.6536255,-18.953125,-8.828125,4.96875
1695730772749,-0.8413086,-0.1350708,-0.708313,-1.46875,-0.125,-1.984375
1695730772780,-0.7570801,-0.14483643,-0.60772705,18.4375,17.078125,-5.421875
1695730772825,-0.7524414,-0.19342041,-0.5935669,18.140625,24.609375,-3.65625
1695730772858,-0.8071289,-0.1741333,-0.69488525,15.078125,20.5,-4.421875
1695730772899,-0.795166,-0.093811035,-0.61920166,22.3125,22.015625,-5.0
1695730772944,-0.7692871,-0.053527832,-0.550354,15.296875,15.953125,0.453125
1695730772975,-0.8186035,-0.11090088,-0.5779419,7.921875,11.375,2.109375
1695730773020,-0.7858887,-0.10211182,-0.58917236,-4.203125,-4.921875,0.0625
1695730773096,-0.7402344,-0.0947876,-0.56500244,-13.46875,-6.953125,1.609375
1695730773099,-0.76586914,-0.058166504,-0.5601196,-28.0625,-19.921875,6.5
1695730773146,-0.8015137,-0.097717285,-0.5779419,-15.046875,-13.59375,2.375
1695730773215,-0.7631836,-0.17071533,-0.57696533,-13.09375,-12.28125,-1.34375
1695730773226,-0.7492676,-0.17047119,-0.6235962,-18.71875,-10.59375,0.796875
1695730773259,-0.7993164,-0.14141846,-0.6260376,-7.921875,-4.1875,-0.0625
1695730773290,-0.7705078,-0.18511963,-0.6091919,-4.796875,-4.609375,-0.78125
1695730773335,-0.74438477,-0.19244385,-0.60357666,-8.28125,-5.453125,-1.453125
1695730773380,-0.7766113,-0.15753174,-0.62628174,-2.8125,-1.484375,-4.25
1695730773410,-0.75927734,-0.17755127,-0.64263916,14.375,10.46875,-4.34375
1695730773456,-0.7585449,-0.19317627,-0.6511841,22.3125,15.890625,-0.578125
1695730773485,-0.8029785,-0.085998535,-0.64263916,20.0,16.703125,-0.734375
1695730773529,-0.7753906,-0.10064697,-0.6121216,20.296875,17.65625,0.296875
1695730773574,-0.7780762,-0.13995361,-0.5947876,11.15625,13.96875,1.40625
1695730773606,-0.80615234,-0.09893799,-0.5755005,8.515625,7.5625,0.640625
1695730773649,-0.7624512,-0.124816895,-0.63238525,-2.234375,-1.71875,1.71875
1695730773695,-0.76586914,-0.07159424,-0.59820557,-10.3125,-2.328125,4.0
1695730773725,-0.7915039,-0.117248535,-0.53863525,-9.28125,-5.953125,9.375
1695730773769,-0.8105469,-0.11260986,-0.52960205,-5.625,-10.09375,-0.109375
