# Sensor type: Respeck
# Activity type: Lying down on left
# Activity subtype: Normal
# Subject id: s1862623
# Notes: test1
timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
1695727036825,-0.99609375,-0.07623291,-0.24542236,-0.578125,1.828125,0.3125
1695727036865,-0.98339844,-0.07623291,-0.24053955,-0.265625,1.6875,0.125
1695727036906,-0.99243164,-0.07696533,-0.25128174,0.21875,1.625,0.203125
1695727036944,-0.98339844,-0.07550049,-0.2456665,0.0,2.171875,0.25
1695727036983,-0.99560547,-0.070129395,-0.24884033,-0.609375,2.015625,-0.078125
1695727037024,-0.9851074,-0.07623291,-0.24468994,0.015625,2.234375,-0.03125
1695727037064,-0.9897461,-0.07330322,-0.24542236,-0.921875,1.53125,0.109375
1695727037104,-0.9941406,-0.08282471,-0.24005127,-0.671875,1.78125,0.171875
1695727037144,-0.98583984,-0.073791504,-0.23736572,0.28125,2.328125,-0.546875
1695727037184,-1.0,-0.0725708,-0.23614502,-0.0625,1.671875,0.328125
1695727037225,-0.9941406,-0.07574463,-0.24346924,-1.421875,1.640625,-0.015625
1695727037265,-0.98999023,-0.08087158,-0.23809814,0.046875,1.734375,0.234375
1695727037306,-1.0056152,-0.07672119,-0.23883057,0.796875,2.25,-0.328125
1695727037345,-0.9953613,-0.06842041,-0.24371338,0.15625,1.40625,-0.046875
1695727037386,-0.9916992,-0.06964111,-0.23321533,-0.390625,1.9375,0.203125
1695727037424,-0.9890137,-0.07672119,-0.23687744,-0.09375,1.5,0.046875
1695727037464,-0.9926758,-0.069885254,-0.23516846,0.171875,1.625,0.265625
1695727037506,-0.99487305,-0.07598877,-0.2312622,-0.203125,1.4375,0.25
1695727037545,-0.9909668,-0.06964111,-0.2354126,-0.75,1.25,0.3125
1695727037585,-0.99072266,-0.08087158,-0.22955322,0.203125,1.375,0.265625
1695727037625,-1.0036621,-0.070129395,-0.23614502,0.03125,1.0625,-0.421875
1695727037665,-1.0019531,-0.07891846,-0.23321533,-0.203125,1.09375,0.4375
1695727037706,-0.9987793,-0.07647705,-0.23150635,-0.1875,0.984375,-0.203125
1695727037744,-0.99731445,-0.073791504,-0.23077393,-0.0625,1.265625,0.015625
1695727037786,-0.98876953,-0.073791504,-0.23028564,-0.734375,1.25,0.203125
1695727037825,-0.9975586,-0.07623291,-0.22857666,-0.328125,1.3125,0.15625
1695727037865,-0.9975586,-0.082336426,-0.22491455,-0.34375,0.84375,0.390625
1695727037906,-0.9921875,-0.078430176,-0.22955322,-0.125,0.703125,0.140625
1695727037945,-1.0,-0.070129395,-0.23175049,0.078125,0.953125,-0.15625
1695727037985,-0.9904785,-0.07281494,-0.2288208,-0.078125,0.484375,-0.046875
1695727038046,-0.99780273,-0.073791504,-0.23492432,0.21875,-0.046875,-0.1875
1695727038049,-0.99609375,-0.06695557,-0.23370361,0.484375,-0.015625,-0.15625
1695727038087,-0.9875488,-0.07305908,-0.2341919,-0.28125,0.1875,-0.03125
1695727038166,-0.99487305,-0.0725708,-0.23834229,-0.0625,0.015625,0.09375
1695727038184,-0.9868164,-0.07476807,-0.23980713,-0.3125,0.109375,-0.15625
1695727038205,-1.0004883,-0.070617676,-0.24273682,-0.25,0.359375,0.09375
1695727038246,-0.99121094,-0.0713501,-0.2390747,0.546875,-0.6875,0.3125
1695727038285,-0.99560547,-0.070617676,-0.24786377,-0.140625,-0.078125,-0.03125
1695727038325,-0.99243164,-0.06915283,-0.24468994,0.234375,-0.40625,-0.234375
1695727038365,-0.98706055,-0.07232666,-0.2432251,-0.796875,0.953125,0.125
1695727038407,-0.9904785,-0.074279785,-0.24713135,1.15625,-0.578125,0.65625
1695727038445,-0.9968262,-0.07110596,-0.24786377,0.359375,0.078125,-0.4375
1695727038485,-0.98461914,-0.065979004,-0.24761963,-0.328125,-0.34375,0.078125
1695727038526,-0.9880371,-0.07208252,-0.25152588,-0.59375,0.296875,0.359375
1695727038565,-0.99780273,-0.07110596,-0.24908447,-0.6875,0.125,0.375
1695727038607,-0.98339844,-0.07159424,-0.24810791,-0.875,0.171875,0.09375
1695727038646,-0.9921875,-0.070373535,-0.24786377,-0.40625,-0.328125,0.53125
1695727038686,-0.98046875,-0.07208252,-0.2539673,-0.703125,0.390625,0.234375
1695727038726,-0.98657227,-0.081848145,-0.253479,-0.5,0.359375,-0.21875
1695727038766,-0.98291016,-0.06768799,-0.25030518,0.109375,0.03125,-0.546875
1695727038808,-0.99487305,-0.07891846,-0.255188,-0.421875,0.046875,0.265625
1695727038845,-0.98828125,-0.07501221,-0.25982666,-0.640625,-0.140625,-0.015625
1695727038886,-0.98706055,-0.07354736,-0.25689697,-0.296875,0.203125,0.046875
1695727038926,-0.9868164,-0.0725708,-0.26739502,-0.84375,0.21875,0.171875
1695727038964,-0.9770508,-0.074279785,-0.2588501,-0.734375,0.546875,0.109375
1695727039010,-0.99731445,-0.07086182,-0.26690674,-0.171875,0.640625,0.328125
1695727039045,-0.9836426,-0.06915283,-0.26934814,-0.75,0.984375,0.03125
1695727039086,-0.97998047,-0.07305908,-0.26104736,-0.265625,0.859375,-0.125
1695727039125,-0.98779297,-0.07232666,-0.26397705,-0.703125,0.375,-0.171875
1695727039165,-0.9758301,-0.07354736,-0.26470947,-1.328125,0.46875,-0.734375
1695727039205,-0.9819336,-0.07086182,-0.26202393,-0.609375,0.640625,-0.28125
1695727039246,-0.9819336,-0.07232666,-0.2774048,-0.796875,1.0,-0.046875
1695727039288,-0.9831543,-0.07281494,-0.25665283,-1.171875,0.859375,-0.15625
1695727039327,-0.97143555,-0.07232666,-0.2798462,-0.9375,1.90625,-0.4375
1695727039344,-0.9836426,-0.074523926,-0.255188,-0.28125,0.546875,-0.015625
1695727039385,-0.9851074,-0.070373535,-0.27008057,-0.921875,0.703125,-0.046875
1695727039425,-0.9814453,-0.070617676,-0.25299072,-0.359375,1.21875,0.09375
1695727039465,-0.98339844,-0.070129395,-0.27789307,0.109375,0.59375,0.25
1695727039506,-0.9848633,-0.07232666,-0.26470947,0.203125,0.578125,0.171875
1695727039546,-0.98046875,-0.07476807,-0.27008057,0.15625,1.109375,0.0625
1695727039585,-0.9873047,-0.07232666,-0.2666626,-0.90625,0.5625,0.484375
1695727039626,-0.9802246,-0.07745361,-0.2642212,-0.953125,0.484375,0.359375
