,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sensor_type,activity_type,activity_code,subject_id,notes,ind
46,1695813602811,1.3327637,0.25164795,-0.3250122,4.40625,-23.765625,-14.96875,Respeck,Ascending stairs,-1,s1862623,,46
47,1695813602847,0.94799805,-0.093566895,-0.14678955,-20.171875,-15.171875,0.5625,Respeck,Ascending stairs,-1,s1862623,,47
48,1695813602886,0.79833984,-0.085754395,-0.065979004,-19.453125,-25.34375,-6.25,Respeck,Ascending stairs,-1,s1862623,,48
49,1695813602923,0.8774414,-0.112854004,-0.11505127,-30.03125,-19.484375,-23.84375,Respeck,Ascending stairs,-1,s1862623,,49
50,1695813602962,0.75097656,-0.17242432,-0.120910645,-31.140625,-12.390625,-26.71875,Respeck,Ascending stairs,-1,s1862623,,50
51,1695813603003,0.79467773,-0.031799316,0.01751709,-16.234375,-0.875,-14.3125,Respeck,Ascending stairs,-1,s1862623,,51
52,1695813603048,0.71655273,-0.026916504,0.03314209,-31.28125,-11.9375,-6.328125,Respeck,Ascending stairs,-1,s1862623,,52
53,1695813603086,0.41577148,0.0119018555,-0.043518066,-16.015625,-2.390625,-9.71875,Respeck,Ascending stairs,-1,s1862623,,53
54,1695813603123,0.5415039,-0.23590088,0.27581787,-26.09375,33.984375,8.546875,Respeck,Ascending stairs,-1,s1862623,,54
55,1695813603160,1.0012207,-0.5442505,0.031677246,-17.453125,19.421875,22.828125,Respeck,Ascending stairs,-1,s1862623,,55
56,1695813603197,1.338623,-0.2859497,0.20233154,-43.265625,39.75,17.59375,Respeck,Ascending stairs,-1,s1862623,,56
57,1695813603288,0.9719238,-0.0022583008,-0.14727783,23.046875,19.625,19.984375,Respeck,Ascending stairs,-1,s1862623,,57
58,1695813603291,1.234375,-0.06549072,-0.2420044,13.75,18.6875,-3.84375,Respeck,Ascending stairs,-1,s1862623,,58
59,1695813603324,1.6379395,0.29144287,-0.6682739,6.796875,5.59375,14.9375,Respeck,Ascending stairs,-1,s1862623,,59
