# Sensor type: Respeck
# Activity type: Miscellaneous movements
# Activity subtype: Normal
# Subject id: s1862623
# Notes: sitting down and up
timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
1695729174074,0.83251953,-1.4624634,-0.28985596,24.71875,5.59375,9.4375
1695729174104,0.38500977,-1.5249634,-0.23052979,20.796875,7.4375,-13.84375
1695729174147,-0.024414062,-1.1738892,-0.36480713,-4.296875,25.203125,-18.453125
1695729174177,0.25585938,-0.8777466,-0.43341064,-31.09375,17.625,-32.0625
1695729174222,0.43896484,-0.84332275,-0.26617432,-19.0,13.3125,-33.828125
1695729174268,0.1899414,-0.8386841,-0.07965088,-50.046875,14.875,-46.28125
1695729174298,0.04272461,-0.7695923,-0.20587158,-66.140625,17.03125,-58.640625
1695729174344,0.05908203,-0.52789307,-0.25323486,-46.6875,13.71875,-48.703125
1695729174388,0.1899414,-0.4102173,-0.14459229,-51.234375,6.03125,-36.484375
1695729174417,0.10131836,-0.4656372,-0.085510254,-46.609375,3.515625,-32.0625
1695729174462,0.010986328,-0.6343384,-0.070617676,-33.1875,-0.46875,-23.625
1695729174493,-0.021484375,-0.81988525,-0.101135254,-13.484375,-12.46875,-7.28125
1695729174538,-0.03564453,-0.96759033,-0.06036377,5.140625,1.296875,1.265625
1695729174583,-0.1394043,-0.91778564,-0.043273926,21.546875,5.84375,8.546875
1695729174613,-0.11328125,-0.8049927,-0.10455322,31.25,11.671875,18.40625
1695729174659,0.021972656,-0.7295532,-0.11578369,50.40625,15.34375,23.625
1695729174703,0.048583984,-0.59625244,-0.14190674,57.390625,7.453125,32.125
1695729174732,0.107910156,-0.4932251,-0.24395752,67.34375,-0.28125,36.765625
1695729174778,0.061279297,-0.4517212,-0.2420044,61.25,-11.328125,46.171875
1695729174808,0.13549805,-0.57647705,-0.3110962,50.609375,-31.265625,40.953125
1695729174853,0.07348633,-0.6602173,-0.37994385,32.125,-31.4375,32.296875
1695729174899,0.109375,-0.8274536,-0.47857666,27.671875,-25.78125,27.578125
1695729174930,0.42504883,-1.0923462,-0.16973877,51.765625,8.8125,24.21875
1695729174973,0.296875,-1.4246216,-0.5811157,-31.9375,-21.515625,26.71875
1695729175019,0.47460938,-1.1426392,-0.5183716,-24.171875,1.421875,7.59375
1695729175049,0.5925293,-1.2354126,-0.57696533,-15.625,-12.8125,7.796875
1695729175098,0.30859375,-1.4307251,-0.4680786,-57.4375,11.5,-14.171875
1695729175139,0.6760254,-1.2793579,-0.42437744,-20.078125,-17.875,-5.640625
1695729175170,0.46069336,-1.11969,-0.331604,-12.78125,-5.609375,-46.125
1695729175229,0.44702148,-1.3162231,-0.17755127,-53.078125,-13.5625,-29.625
1695729175244,0.21582031,-1.3699341,0.23919678,-10.671875,-15.03125,-34.796875
1695729175290,-0.44458008,-1.0855103,-0.066711426,-16.390625,21.078125,-35.046875
1695729175334,0.107666016,-0.41900635,-0.3604126,-51.984375,-8.265625,-34.59375
1695729175364,0.017822266,-0.39801025,-0.028137207,-4.8125,33.65625,-40.28125
1695729175410,-0.068847656,-0.86065674,0.0758667,-22.0,17.828125,-16.453125
1695729175454,-0.13330078,-1.4485474,0.08123779,-20.1875,-6.09375,-11.6875
1695729175483,-0.15966797,-1.6624146,0.06048584,-14.859375,-3.8125,-39.140625
1695729175529,-0.21826172,-0.7144165,0.11785889,-35.578125,-0.03125,-27.765625
1695729175558,-0.24731445,-0.37164307,0.08782959,4.21875,3.9375,-14.234375
1695729175606,-0.11303711,-0.8303833,0.23797607,8.0625,-4.703125,-1.359375
1695729175650,-0.1940918,-1.4382935,0.4118042,-0.640625,-4.546875,2.75
1695729175680,-0.31713867,-1.185852,0.17352295,-32.484375,-2.75,-6.0625
1695729175723,-0.3540039,-0.57598877,0.16400146,2.0,4.34375,-0.546875
1695729175800,-0.17797852,-0.67315674,0.1564331,16.90625,6.34375,10.296875
1695729175802,-0.05810547,-1.0300903,0.23138428,15.03125,-0.6875,27.09375
1695729175845,-0.038085938,-0.9968872,0.25750732,18.46875,-14.96875,27.984375
1695729175875,-0.20825195,-0.9421997,0.117614746,26.078125,-13.890625,29.3125
1695729175919,-0.20825195,-0.9085083,0.12762451,45.828125,1.625,33.5625
1695729175964,-0.09838867,-1.0276489,0.02142334,57.890625,-4.53125,34.078125
1695729175995,-0.14526367,-1.2605591,-0.047180176,35.40625,-4.515625,39.046875
1695729176039,-0.13061523,-1.4885864,-0.28790283,24.796875,14.765625,30.296875
1695729176084,0.5119629,-1.3528442,-0.5911255,14.40625,11.09375,23.0625
1695729176119,0.8391113,-1.2966919,-0.4758911,34.078125,2.953125,13.234375
1695729176159,0.40673828,-1.6140747,-0.47296143,11.09375,-6.40625,-6.3125
