,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,1695733670584,0.27734375,0.06878662,-0.89434814,0.171875,4.765625,0.1875
1,1695733670629,0.2746582,0.066345215,-0.90216064,0.546875,2.828125,-0.125
2,1695733670664,0.27148438,0.06390381,-0.897522,0.609375,1.21875,-0.515625
3,1695733670705,0.26513672,0.07122803,-0.89312744,-0.34375,0.53125,-0.109375
4,1695733670765,0.27392578,0.070739746,-0.90045166,-0.75,-0.125,0.03125
5,1695733670786,0.29125977,0.054870605,-0.87701416,-0.5,-2.109375,-0.578125
6,1695733670825,0.2800293,0.06829834,-0.8904419,-0.6875,-1.640625,0.0
7,1695733670885,0.28735352,0.06121826,-0.89068604,-1.34375,-1.03125,-0.21875
8,1695733670905,0.28100586,0.06585693,-0.89263916,-2.0,0.390625,0.0
9,1695733670945,0.28564453,0.066101074,-0.88897705,-1.53125,0.421875,0.234375
10,1695733670985,0.28588867,0.06488037,-0.8982544,-0.484375,1.078125,0.640625
11,1695733671046,0.28588867,0.06463623,-0.89630127,-0.328125,2.0625,1.34375
12,1695733671105,0.28173828,0.06341553,-0.89923096,0.40625,1.34375,0.6875
13,1695733671106,0.2841797,0.06976318,-0.88946533,0.421875,1.625,-0.25
14,1695733671126,0.28222656,0.062194824,-0.895813,-0.203125,3.25,0.078125
15,1695733671167,0.28393555,0.06829834,-0.8982544,-0.046875,3.3125,-0.21875
16,1695733671205,0.27807617,0.07611084,-0.90216064,0.59375,2.15625,0.765625
17,1695733671245,0.27075195,0.070495605,-0.8928833,0.46875,1.21875,0.515625
18,1695733671284,0.27246094,0.06829834,-0.8982544,-0.34375,1.15625,0.28125
19,1695733671325,0.2746582,0.059265137,-0.897522,-0.890625,0.25,0.078125
20,1695733671366,0.27905273,0.06048584,-0.90167236,-1.03125,-0.1875,0.3125
21,1695733671408,0.28027344,0.062194824,-0.89068604,-0.90625,-1.578125,-0.15625
22,1695733671446,0.2763672,0.06488037,-0.89508057,-0.703125,-1.0,-0.203125
23,1695733671507,0.28295898,0.058776855,-0.88653564,-1.515625,0.40625,0.078125
24,1695733671546,0.2746582,0.06390381,-0.8899536,-0.421875,0.203125,0.53125
