,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,1695729828063,-0.3762207,-0.8953247,0.42108154,2.0,3.25,-1.421875
1,1695729828094,-0.35839844,-0.90704346,0.4257202,2.703125,1.296875,-1.5
2,1695729828136,-0.3659668,-0.8987427,0.40985107,0.078125,3.71875,-0.328125
3,1695729828167,-0.36376953,-0.89849854,0.42230225,3.921875,5.3125,-2.09375
4,1695729828212,-0.36987305,-0.87823486,0.41497803,2.5625,5.390625,-2.546875
5,1695729828257,-0.36889648,-0.9133911,0.40203857,2.75,3.546875,-0.78125
6,1695729828287,-0.37670898,-0.8858032,0.40594482,2.25,3.640625,1.078125
7,1695729828331,-0.3828125,-0.8945923,0.40472412,3.515625,3.328125,-0.21875
8,1695729828379,-0.3684082,-0.9067993,0.40179443,0.984375,2.9375,-0.25
9,1695729828407,-0.34228516,-0.9077759,0.38885498,1.453125,1.875,0.28125
10,1695729828451,-0.35107422,-0.88946533,0.38250732,1.328125,-0.765625,0.421875
11,1695729828528,-0.37524414,-0.9143677,0.40008545,0.40625,-0.03125,0.796875
12,1695729828530,-0.3635254,-0.9121704,0.38323975,-0.390625,-0.640625,-0.625
13,1695729828572,-0.36865234,-0.90411377,0.3908081,2.0,-0.171875,-1.296875
14,1695729828603,-0.3696289,-0.9182739,0.3739624,2.65625,7.9375,-3.234375
15,1695729828649,-0.34716797,-0.91851807,0.36053467,14.921875,11.6875,-2.609375
16,1695729828692,-0.41015625,-0.8731079,0.4100952,25.0,9.359375,2.25
17,1695729828723,-0.4099121,-0.9234009,0.36151123,12.84375,7.53125,4.75
18,1695729828767,-0.36328125,-0.9036255,0.29901123,15.71875,6.609375,5.78125
19,1695729828797,-0.31811523,-0.9036255,0.32147217,10.3125,7.96875,4.390625
20,1695729828842,-0.31640625,-0.9102173,0.291687,8.71875,-4.109375,6.53125
21,1695729828887,-0.26367188,-0.895813,0.27752686,0.640625,-5.359375,4.203125
22,1695729828918,-0.25683594,-0.8479614,0.22332764,-17.359375,-29.734375,7.609375
23,1695729828963,-0.4025879,-0.99468994,0.34783936,-12.453125,-21.28125,0.328125
24,1695729829010,-0.30810547,-1.1087036,0.32489014,-15.75,-0.21875,-10.09375
25,1695729829039,-0.37329102,-0.9505005,0.31951904,-8.28125,2.390625,-4.625
26,1695729829084,-0.36157227,-0.83917236,0.2987671,-12.734375,8.6875,-11.453125
27,1695729829114,-0.32836914,-0.8765259,0.4003296,-8.71875,-0.5625,-9.71875
28,1695729829159,-0.4074707,-0.9495239,0.4232788,-5.515625,6.953125,-5.4375
29,1695729829204,-0.3894043,-0.8887329,0.38128662,-0.84375,15.140625,-5.4375
30,1695729829234,-0.4099121,-0.92266846,0.4352417,9.609375,20.328125,-5.765625
31,1695729829281,-0.47631836,-0.95025635,0.3847046,19.296875,14.828125,1.265625
