# Sensor type: Respeck
# Activity type: Standing
# Activity subtype: Singing
# Subject id: s1862623
# Notes: 
timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
1695730168308,-0.37231445,-0.94317627,0.3505249,2.828125,3.125,0.125
1695730168352,-0.33740234,-0.9065552,0.32659912,0.359375,2.5,0.515625
1695730168384,-0.3413086,-0.91607666,0.33221436,3.484375,2.046875,0.078125
1695730168427,-0.34594727,-0.94610596,0.33465576,2.84375,1.546875,0.78125
1695730168472,-0.34887695,-0.9221802,0.33099365,4.25,-0.140625,1.203125
1695730168502,-0.3605957,-0.92193604,0.30511475,0.578125,2.015625,0.6875
1695730168548,-0.34228516,-0.9380493,0.3217163,4.71875,1.546875,0.71875
1695730168577,-0.33984375,-0.93951416,0.3168335,2.921875,2.328125,1.84375
1695730168622,-0.34204102,-0.9456177,0.32000732,7.71875,2.65625,1.421875
1695730168668,-0.34375,-0.9338989,0.2958374,-1.59375,4.84375,0.734375
1695730168698,-0.3581543,-0.93634033,0.3048706,5.140625,3.0625,1.953125
1695730168743,-0.32861328,-0.9529419,0.27972412,3.46875,1.453125,2.1875
1695730168788,-0.3190918,-0.9446411,0.2921753,0.875,3.75,2.21875
1695730168818,-0.30395508,-0.9324341,0.2958374,0.890625,2.46875,1.265625
1695730168865,-0.31420898,-0.9541626,0.27508545,2.84375,0.0625,4.1875
1695730168893,-0.32348633,-0.9480591,0.2880249,0.015625,2.09375,4.0
1695730168938,-0.29516602,-0.9414673,0.27435303,1.671875,-0.953125,2.84375
1695730168982,-0.28149414,-0.95196533,0.27288818,0.859375,-0.28125,2.859375
1695730169013,-0.30078125,-0.9612427,0.2843628,1.890625,1.578125,4.25
1695730169058,-0.30078125,-0.9578247,0.26971436,0.53125,-0.234375,3.390625
1695730169135,-0.27416992,-0.95684814,0.28704834,3.9375,-1.09375,2.953125
1695730169138,-0.28320312,-0.96417236,0.27703857,1.15625,-0.109375,4.21875
1695730169178,-0.29003906,-0.9505005,0.25506592,0.578125,-0.953125,2.65625
1695730169208,-0.28198242,-0.95928955,0.27557373,1.328125,-0.78125,2.796875
1695730169255,-0.2861328,-0.9612427,0.26434326,-1.703125,-0.34375,2.015625
