# Sensor type: Thingy
# Activity type: Descending stairs
# Activity subtype: Normal
# Subject id: s1862623
# Notes: 
timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
1695813814154,-0.8623047,0.19824219,0.31640625,-30.53125,12.875,19.625,0.0,0.0,0.0
1695813814203,-1.0302734,0.6171875,0.0390625,1.8125,43.625,27.28125,0.0,0.0,0.0
1695813814229,-1.2275391,-0.021484375,-0.001953125,4.0,50.9375,53.5625,0.0,0.0,0.0
1695813814278,-1.0820312,-0.052734375,-0.32128906,-41.9375,54.4375,55.15625,0.0,0.0,0.0
1695813814329,-2.0,-0.032226562,-0.08984375,-50.0,72.0,133.84375,0.0,0.0,0.0
1695813814353,-1.359375,-0.28320312,-0.09375,-4.59375,115.71875,105.34375,0.0,0.0,0.0
1695813814404,-0.9863281,-0.07910156,-0.095703125,-26.75,80.375,59.8125,0.0,0.0,0.0
1695813814428,-0.9013672,0.16210938,-0.13574219,2.84375,55.65625,8.84375,-89.5625,18.5,-58.25
1695813814479,-0.76953125,-0.053710938,-0.11621094,25.4375,35.5625,1.3125,0.0,0.0,0.0
1695813814529,-0.5341797,-0.12890625,-0.19921875,27.6875,-13.75,-39.6875,0.0,0.0,0.0
1695813814553,-0.64160156,-0.017578125,-0.020507812,8.53125,-42.5,-72.53125,0.0,0.0,0.0
1695813814606,-0.6123047,0.07128906,0.005859375,-21.5625,-55.125,-92.46875,0.0,0.0,0.0
1695813814628,-0.5957031,0.36035156,-0.14941406,-40.0625,-47.5,-83.03125,0.0,0.0,0.0
1695813814681,-0.9658203,0.13183594,-0.234375,-0.375,-54.6875,-59.53125,0.0,0.0,0.0
1695813814729,-0.84375,0.30078125,-0.052734375,88.3125,-60.3125,-54.6875,0.0,0.0,0.0
1695813814754,-0.8017578,-0.021484375,-0.21289062,25.3125,-71.25,-28.21875,0.0,0.0,0.0
1695813814803,-0.71972656,-0.20800781,-0.25390625,-46.9375,-72.28125,-5.21875,0.0,0.0,0.0
1695813814829,-1.1357422,-0.32128906,-0.33984375,-19.84375,-37.75,-0.6875,0.0,0.0,0.0
1695813814881,-2.0,0.0029296875,0.57714844,-36.03125,4.125,16.40625,0.0,0.0,0.0
1695813814928,-1.6054688,0.30273438,-0.30664062,-55.8125,40.875,90.5625,-97.0625,9.0625,-45.1875
1695813814954,-0.9658203,-0.31445312,0.47753906,-23.75,50.65625,41.0,0.0,0.0,0.0
1695813815007,-1.1650391,-0.03515625,0.10644531,47.40625,-36.625,-42.8125,0.0,0.0,0.0
1695813815028,-1.2949219,0.06347656,-0.115234375,-20.28125,-38.71875,-25.09375,0.0,0.0,0.0
1695813815079,-0.9199219,-0.11621094,-0.051757812,19.75,-13.375,-5.4375,0.0,0.0,0.0
1695813815129,-1.015625,0.15332031,-0.10644531,8.53125,-0.4375,-4.53125,0.0,0.0,0.0
1695813815155,-0.7998047,0.029296875,-0.029296875,-4.28125,31.25,25.4375,0.0,0.0,0.0
1695813815205,-0.40429688,-0.13964844,0.19238281,15.0625,15.5625,-6.59375,0.0,0.0,0.0
