,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,1695728700786,-0.40942383,-0.8435669,0.49139404,6.71875,13.765625,-5.734375
1,1695728700826,-0.48242188,-0.87823486,0.39886475,10.46875,7.6875,2.6875
2,1695728700866,-0.42236328,-0.9006958,0.3258667,-2.046875,13.703125,-4.859375
3,1695728700907,-0.3791504,-0.9194946,0.39349365,10.984375,1.546875,2.734375
4,1695728700947,-0.41430664,-0.8591919,0.35198975,5.296875,3.796875,5.328125
5,1695728700986,-0.41723633,-0.8933716,0.3378296,10.453125,3.4375,3.34375
6,1695728701026,-0.41259766,-0.9204712,0.3390503,6.125,1.59375,3.84375
7,1695728701067,-0.37524414,-0.9277954,0.27557373,8.328125,0.078125,5.296875
8,1695728701106,-0.3400879,-0.88897705,0.27630615,5.921875,-4.03125,3.703125
9,1695728701146,-0.27954102,-0.89923096,0.24334717,-1.96875,-8.09375,1.578125
10,1695728701186,-0.3400879,-0.9109497,0.27923584,5.25,-21.28125,6.40625
11,1695728701227,-0.42822266,-0.99298096,0.3427124,4.171875,-10.671875,6.109375
12,1695728701267,-0.37670898,-0.9944458,0.33050537,-17.359375,2.515625,-9.234375
13,1695728701307,-0.34960938,-0.91070557,0.28167725,-5.390625,3.59375,-10.28125
14,1695728701346,-0.3876953,-0.87701416,0.3114624,-10.953125,4.390625,-4.578125
15,1695728701386,-0.41235352,-0.89141846,0.36590576,-13.1875,0.8125,-5.96875
16,1695728701426,-0.42407227,-0.9019165,0.37225342,-14.875,2.109375,-8.328125
17,1695728701466,-0.46777344,-0.8713989,0.3756714,-8.109375,3.078125,-5.171875
18,1695728701507,-0.42822266,-0.8648071,0.40985107,-5.8125,4.046875,-4.296875
19,1695728701546,-0.44799805,-0.85723877,0.42596436,1.203125,4.796875,-0.734375
20,1695728701586,-0.4663086,-0.8748169,0.43792725,14.796875,10.9375,0.4375
21,1695728701627,-0.44091797,-0.92559814,0.37493896,21.203125,10.25,1.96875
22,1695728701668,-0.4169922,-0.8921509,0.29803467,6.0625,2.859375,1.125
23,1695728701707,-0.38256836,-0.88653564,0.33587646,14.703125,1.4375,0.96875
24,1695728701748,-0.40966797,-0.9204712,0.29437256,4.328125,1.34375,5.90625
25,1695728701767,-0.40673828,-0.8665161,0.29241943,6.0,0.546875,5.6875
26,1695728701808,-0.35498047,-0.97198486,0.24700928,5.375,-4.484375,1.390625
27,1695728701849,-0.3330078,-0.8970337,0.23846436,4.03125,-5.28125,3.109375
28,1695728701888,-0.33032227,-0.87506104,0.2321167,14.125,-18.0625,3.265625
29,1695728701929,-0.4255371,-0.96466064,0.31756592,-5.9375,-14.25,4.890625
30,1695728701969,-0.46850586,-0.94610596,0.3053589,-22.203125,0.375,-4.875
31,1695728702009,-0.38085938,-0.95269775,0.28582764,-6.578125,7.21875,-10.078125
32,1695728702049,-0.37719727,-0.9180298,0.30291748,-13.90625,4.5625,-6.265625
33,1695728702088,-0.42016602,-0.83380127,0.35125732,-15.328125,7.640625,-6.546875
34,1695728702131,-0.46801758,-0.8567505,0.37615967,-7.21875,3.109375,-3.984375
35,1695728702168,-0.44750977,-0.87945557,0.41864014,-5.71875,8.25,-2.15625
36,1695728702208,-0.48120117,-0.8838501,0.4376831,22.625,12.421875,3.046875
37,1695728702248,-0.47680664,-0.9187622,0.29510498,18.5,11.265625,6.578125
38,1695728702288,-0.42114258,-0.8843384,0.30804443,13.546875,2.59375,3.421875
39,1695728702330,-0.34106445,-0.9314575,0.27752686,20.03125,6.9375,2.421875
40,1695728702368,-0.38232422,-0.9221802,0.24163818,8.609375,1.59375,9.671875
41,1695728702408,-0.3815918,-0.9126587,0.25823975,-2.71875,-0.59375,1.6875
42,1695728702449,-0.36450195,-0.9631958,0.24456787,6.953125,-1.984375,0.875
43,1695728702488,-0.32836914,-0.93463135,0.2062378,3.234375,-2.734375,5.0625
44,1695728702528,-0.3005371,-0.8999634,0.20965576,-2.984375,-3.0,-1.015625
45,1695728702568,-0.34838867,-0.9446411,0.215271,-9.359375,-8.578125,-1.546875
46,1695728702609,-0.39501953,-0.927063,0.3036499,-16.53125,-11.125,0.703125
47,1695728702649,-0.45751953,-0.90045166,0.38397217,-14.484375,-7.125,-1.78125
48,1695728702688,-0.42285156,-0.9417114,0.29364014,-29.375,1.625,-9.03125
49,1695728702729,-0.37329102,-0.90460205,0.33050537,-5.375,2.90625,-12.0625
50,1695728702769,-0.41503906,-0.8989868,0.39276123,-8.09375,4.265625,-1.453125
51,1695728702807,-0.4753418,-0.8452759,0.36419678,-7.265625,2.90625,-1.453125
52,1695728702856,-0.42529297,-0.87628174,0.38690186,-2.828125,1.734375,-4.90625
53,1695728702887,-0.45263672,-0.88775635,0.3756714,-2.03125,4.203125,0.53125
