,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
0,1695728001149,-0.60546875,0.18652344,0.35546875,-25.90625,35.75,1.34375,0.0,0.0,0.0
1,1695728001209,-0.9296875,0.11816406,0.703125,-24.71875,15.0,5.25,0.0,0.0,0.0
2,1695728001230,-1.0390625,0.2783203,-0.3154297,-146.625,13.78125,-49.625,0.0,0.0,0.0
3,1695728001268,-1.4179688,0.26757812,0.6982422,145.0625,-71.28125,45.53125,0.0,0.0,0.0
4,1695728001308,-0.5908203,0.33496094,0.047851562,-64.78125,21.125,-9.34375,0.0,0.0,0.0
5,1695728001349,-1.1074219,-0.22460938,0.3173828,-86.0625,30.875,27.34375,0.0,0.0,0.0
6,1695728001391,-1.3789062,-0.38671875,0.36816406,20.3125,61.9375,-9.65625,0.0,0.0,0.0
7,1695728001429,-0.70996094,-0.029296875,0.3076172,38.25,46.75,-6.65625,-69.625,-1.75,-116.3125
8,1695728001469,-0.63671875,0.27929688,0.41601562,9.3125,48.65625,18.59375,0.0,0.0,0.0
9,1695728001509,-0.85253906,0.1796875,0.38183594,-26.125,39.125,6.34375,0.0,0.0,0.0
10,1695728001548,-1.0419922,-0.045898438,0.34960938,-50.4375,36.125,6.21875,0.0,0.0,0.0
11,1695728001589,-1.0517578,-0.030273438,0.5214844,-22.0625,-7.8125,11.53125,0.0,0.0,0.0
12,1695728001630,-1.1201172,0.16503906,-0.001953125,0.46875,-108.78125,36.78125,0.0,0.0,0.0
13,1695728001669,-1.4160156,0.21289062,0.609375,67.78125,-139.53125,10.375,0.0,0.0,0.0
14,1695728001709,-0.57128906,0.3779297,-0.0625,-81.875,-90.15625,14.34375,0.0,0.0,0.0
15,1695728001749,-1.0986328,0.45507812,0.44140625,124.875,-62.5625,54.8125,0.0,0.0,0.0
16,1695728001789,-1.2851562,0.17871094,0.18847656,-99.0625,12.625,-16.5625,0.0,0.0,0.0
17,1695728001829,-0.6269531,0.17285156,0.31152344,-24.78125,5.71875,-36.375,0.0,0.0,0.0
18,1695728001869,-0.5019531,0.20996094,0.20996094,-27.0,27.65625,-20.75,0.0,0.0,0.0
