,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,1695726144463,-0.53515625,-0.7390747,0.5578003,0.25,0.625,0.390625
1,1695726144506,-0.53344727,-0.7424927,0.5582886,0.09375,0.734375,0.375
2,1695726144544,-0.54248047,-0.74298096,0.5553589,0.109375,0.96875,0.5625
3,1695726144582,-0.53686523,-0.74224854,0.5621948,0.234375,0.734375,0.28125
4,1695726144643,-0.5373535,-0.7383423,0.5609741,0.53125,1.0,0.375
5,1695726144644,-0.5349121,-0.73883057,0.5570679,-0.046875,1.015625,0.15625
6,1695726144682,-0.53515625,-0.7463989,0.55926514,0.40625,0.5625,0.328125
7,1695726144722,-0.53271484,-0.7398071,0.5531616,0.21875,0.640625,0.203125
8,1695726144765,-0.53564453,-0.7359009,0.55389404,-0.265625,0.984375,0.03125
9,1695726144803,-0.52905273,-0.7371216,0.55755615,0.046875,1.109375,0.3125
10,1695726144842,-0.53222656,-0.74420166,0.55267334,-0.203125,0.578125,0.421875
11,1695726144882,-0.5344238,-0.7463989,0.557312,0.390625,0.9375,0.59375
12,1695726144922,-0.53515625,-0.7432251,0.5536499,0.296875,1.234375,0.265625
13,1695726144963,-0.53686523,-0.736145,0.55218506,0.015625,1.140625,0.28125
14,1695726145003,-0.53759766,-0.7481079,0.5482788,-0.046875,0.6875,0.484375
15,1695726145045,-0.53466797,-0.74713135,0.55218506,-0.015625,0.828125,0.484375
16,1695726145090,-0.5319824,-0.7439575,0.55804443,0.15625,1.171875,0.1875
17,1695726145122,-0.53930664,-0.7461548,0.54730225,-0.1875,0.890625,0.203125
18,1695726145162,-0.53344727,-0.7439575,0.54852295,0.0625,1.046875,0.53125
19,1695726145203,-0.5373535,-0.74298096,0.5516968,0.125,0.90625,0.1875
20,1695726145243,-0.53271484,-0.7456665,0.5487671,-0.03125,1.109375,0.125
21,1695726145283,-0.5366211,-0.7554321,0.54608154,-0.234375,0.75,0.21875
22,1695726145344,-0.532959,-0.7473755,0.5477905,-0.125,0.75,0.21875
