,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sensor_type,activity_type,activity_code,subject_id,notes,ind
47,1695814267413,0.46362305,0.049743652,0.15887451,-6.265625,2.640625,-0.59375,Respeck,Normal walking,-1,s1862623,,50
48,1695814267451,0.6201172,-0.14215088,0.051208496,22.46875,3.546875,12.140625,Respeck,Normal walking,-1,s1862623,,51
49,1695814267496,0.9938965,-0.19317627,0.22918701,14.328125,3.875,-3.125,Respeck,Normal walking,-1,s1862623,,52
50,1695814267525,1.4165039,-0.23150635,0.19573975,-10.34375,6.421875,-3.296875,Respeck,Normal walking,-1,s1862623,,53
51,1695814267575,1.5136719,-0.21124268,0.38763428,3.09375,-4.625,1.75,Respeck,Normal walking,-1,s1862623,,54
52,1695814267614,1.0830078,-0.4590454,0.30389404,-1.40625,-7.90625,-11.1875,Respeck,Normal walking,-1,s1862623,,55
53,1695814267649,0.8713379,-0.395813,-0.32818604,-18.46875,2.421875,-10.75,Respeck,Normal walking,-1,s1862623,,56
54,1695814267688,0.611084,0.17401123,-0.5003052,-10.140625,-12.296875,7.0625,Respeck,Normal walking,-1,s1862623,,57
55,1695814267726,1.999939,0.21820068,-0.6604614,27.265625,23.3125,18.109375,Respeck,Normal walking,-1,s1862623,,58
56,1695814267764,1.8654785,-0.013000488,0.28729248,10.203125,4.578125,7.140625,Respeck,Normal walking,-1,s1862623,,59
57,1695814267966,0.5554199,-0.113342285,0.046325684,33.28125,12.46875,-3.5,Respeck,Normal walking,-1,s1862623,,64
58,1695814268001,1.0649414,-0.38458252,0.05609131,51.65625,21.859375,-31.015625,Respeck,Normal walking,-1,s1862623,,65
59,1695814268051,1.5368652,-0.3867798,-0.01763916,52.578125,5.875,10.015625,Respeck,Normal walking,-1,s1862623,,66
60,1695814268089,1.8461914,-0.5462036,0.1749878,13.71875,-17.78125,30.515625,Respeck,Normal walking,-1,s1862623,,67
61,1695814268126,1.3066406,-0.5371704,0.11907959,1.828125,-29.296875,-8.5,Respeck,Normal walking,-1,s1862623,,68
62,1695814268166,0.8881836,-0.23858643,-0.40338135,13.984375,-21.875,-21.03125,Respeck,Normal walking,-1,s1862623,,69
63,1695814268201,0.7902832,0.19915771,-0.190979,20.0625,-16.953125,-29.5,Respeck,Normal walking,-1,s1862623,,70
64,1695814268238,1.7253418,0.82318115,0.0072631836,-23.375,-3.703125,-13.078125,Respeck,Normal walking,-1,s1862623,,71
65,1695814268288,1.5144043,-0.1843872,-0.077697754,-8.578125,22.703125,17.609375,Respeck,Normal walking,-1,s1862623,,72
66,1695814268325,0.91748047,-0.67681885,0.035827637,-22.78125,-14.609375,9.046875,Respeck,Normal walking,-1,s1862623,,73
67,1695814268363,0.30688477,-0.22125244,-0.13238525,-18.703125,-17.328125,0.0625,Respeck,Normal walking,-1,s1862623,,74
68,1695814268400,0.080322266,0.18621826,0.010681152,-11.65625,-9.421875,-9.75,Respeck,Normal walking,-1,s1862623,,75
69,1695814268438,0.37646484,0.09295654,0.124938965,-6.09375,18.84375,-9.578125,Respeck,Normal walking,-1,s1862623,,76
70,1695814268476,0.6945801,-0.08087158,0.22406006,-14.359375,19.515625,1.09375,Respeck,Normal walking,-1,s1862623,,77
71,1695814268526,0.9934082,-0.18560791,0.21258545,14.859375,21.4375,5.71875,Respeck,Normal walking,-1,s1862623,,78
72,1695814268567,1.4731445,-0.27838135,0.17572021,15.21875,23.5625,0.5625,Respeck,Normal walking,-1,s1862623,,79
73,1695814268600,1.6330566,-0.043518066,0.27947998,-6.15625,9.25,1.625,Respeck,Normal walking,-1,s1862623,,80
74,1695814268638,1.4899902,-0.21783447,0.23382568,-6.84375,0.390625,2.375,Respeck,Normal walking,-1,s1862623,,81
