,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sensor_type,activity_type,activity_code,subject_id,notes,ind
0,1695813756749,1.5288086,-0.255188,-0.25567627,19.09375,20.625,11.59375,Respeck,Descending stairs,-1,s1862623,,0
1,1695813756785,1.9223633,-0.22174072,0.07757568,-4.75,1.28125,4.28125,Respeck,Descending stairs,-1,s1862623,,1
2,1695813756822,1.3674316,-0.30303955,0.13983154,-2.75,-9.984375,4.28125,Respeck,Descending stairs,-1,s1862623,,2
3,1695813756860,0.80981445,-0.30352783,-0.02960205,-12.203125,-2.015625,-10.46875,Respeck,Descending stairs,-1,s1862623,,3
4,1695813756911,0.71875,-0.23052979,0.02947998,-9.46875,1.734375,-4.53125,Respeck,Descending stairs,-1,s1862623,,4
5,1695813756948,0.9519043,-0.11968994,0.024353027,5.125,0.453125,-0.78125,Respeck,Descending stairs,-1,s1862623,,5
6,1695813756985,0.7871094,-0.101867676,0.08782959,-7.96875,-6.0,-10.65625,Respeck,Descending stairs,-1,s1862623,,6
7,1695813757026,0.7038574,-0.14556885,0.024353027,4.328125,-7.15625,-1.359375,Respeck,Descending stairs,-1,s1862623,,7
8,1695813757061,0.63916016,-0.19049072,0.0119018555,-1.59375,-8.84375,9.75,Respeck,Descending stairs,-1,s1862623,,8
9,1695813757098,0.576416,-0.14898682,0.12030029,4.484375,-0.921875,4.625,Respeck,Descending stairs,-1,s1862623,,9
10,1695813757161,0.70288086,-0.22467041,0.090026855,3.875,-2.6875,6.9375,Respeck,Descending stairs,-1,s1862623,,10
11,1695813757185,0.89819336,-0.39190674,-0.016662598,-0.8125,-12.1875,-2.171875,Respeck,Descending stairs,-1,s1862623,,11
12,1695813757223,0.7685547,-0.31549072,0.10296631,-2.671875,-8.46875,-0.375,Respeck,Descending stairs,-1,s1862623,,12
13,1695813757261,0.72802734,-0.15509033,-0.014953613,-20.046875,-12.890625,-1.3125,Respeck,Descending stairs,-1,s1862623,,13
14,1695813757300,0.67211914,0.07928467,-0.023254395,12.234375,9.953125,-16.0,Respeck,Descending stairs,-1,s1862623,,14
15,1695813757351,1.2094727,0.4244995,0.18450928,43.234375,50.5,9.46875,Respeck,Descending stairs,-1,s1862623,,15
16,1695813757385,1.999939,-0.39093018,-0.16973877,23.15625,-0.953125,23.25,Respeck,Descending stairs,-1,s1862623,,16
17,1695813757423,1.5290527,-0.6802368,0.07611084,-33.640625,-22.0625,16.9375,Respeck,Descending stairs,-1,s1862623,,17
18,1695813757462,0.93408203,-0.031799316,-0.34454346,-7.4375,-20.84375,-32.8125,Respeck,Descending stairs,-1,s1862623,,18
19,1695813757499,0.7739258,0.16375732,0.3390503,-39.25,8.890625,-3.90625,Respeck,Descending stairs,-1,s1862623,,19
20,1695813757536,0.73950195,0.08709717,0.19989014,8.671875,-2.0625,16.359375,Respeck,Descending stairs,-1,s1862623,,20
21,1695813757599,0.39770508,-0.10040283,0.14886475,-19.3125,-17.171875,15.046875,Respeck,Descending stairs,-1,s1862623,,21
22,1695813757624,0.34228516,-0.21246338,0.06976318,-19.484375,-6.9375,-15.46875,Respeck,Descending stairs,-1,s1862623,,22
23,1695813757664,0.7192383,-0.113586426,-0.047912598,-14.65625,29.15625,-16.484375,Respeck,Descending stairs,-1,s1862623,,23
24,1695813757699,1.1950684,0.11444092,0.14691162,19.421875,-16.515625,-10.1875,Respeck,Descending stairs,-1,s1862623,,24
25,1695813757737,1.199707,0.06512451,0.2699585,4.046875,-4.640625,-9.453125,Respeck,Descending stairs,-1,s1862623,,25
26,1695813757773,0.6472168,-0.37652588,0.18450928,-21.34375,-2.03125,3.21875,Respeck,Descending stairs,-1,s1862623,,26
27,1695813757849,0.8029785,-0.09454346,-0.04840088,41.953125,-1.140625,-4.859375,Respeck,Descending stairs,-1,s1862623,,27
28,1695813757862,1.3837891,0.01751709,-0.20172119,16.21875,38.65625,10.984375,Respeck,Descending stairs,-1,s1862623,,28
29,1695813757898,1.4755859,-0.19000244,-0.02154541,-2.5625,2.453125,25.171875,Respeck,Descending stairs,-1,s1862623,,29
30,1695813757937,1.6809082,-0.46905518,-0.25421143,21.96875,13.578125,4.296875,Respeck,Descending stairs,-1,s1862623,,30
31,1695813757974,1.3676758,-0.15093994,0.04510498,-13.28125,-10.59375,-4.390625,Respeck,Descending stairs,-1,s1862623,,31
32,1695813758013,0.9914551,-0.19073486,0.24603271,-25.34375,-1.984375,15.40625,Respeck,Descending stairs,-1,s1862623,,32
33,1695813758062,0.60913086,-0.270813,-0.05987549,-5.890625,-9.03125,13.234375,Respeck,Descending stairs,-1,s1862623,,33
34,1695813758099,0.42578125,-0.2107544,-0.13189697,-0.46875,-12.25,-11.046875,Respeck,Descending stairs,-1,s1862623,,34
35,1695813758144,0.58862305,-0.042785645,-0.022277832,4.0,18.390625,0.84375,Respeck,Descending stairs,-1,s1862623,,35
36,1695813758173,0.70043945,0.14886475,0.14031982,-2.015625,-3.46875,13.5625,Respeck,Descending stairs,-1,s1862623,,36
37,1695813758212,0.60717773,-0.18560791,0.022644043,22.421875,-8.140625,21.234375,Respeck,Descending stairs,-1,s1862623,,37
38,1695813758301,0.81884766,-0.2991333,-0.1531372,13.84375,2.21875,9.53125,Respeck,Descending stairs,-1,s1862623,,38
39,1695813758304,0.83740234,-0.28179932,-0.002746582,-7.328125,-14.796875,-12.75,Respeck,Descending stairs,-1,s1862623,,39
40,1695813758338,0.69799805,-0.14019775,-0.15679932,-11.421875,-8.171875,-13.609375,Respeck,Descending stairs,-1,s1862623,,40
41,1695813758373,0.8942871,0.37420654,0.24481201,6.359375,5.03125,-9.640625,Respeck,Descending stairs,-1,s1862623,,41
42,1695813758413,1.999939,0.46624756,-0.2185669,24.0,3.3125,5.453125,Respeck,Descending stairs,-1,s1862623,,42
43,1695813758449,1.8674316,-0.16485596,0.37860107,-12.6875,-13.34375,3.5,Respeck,Descending stairs,-1,s1862623,,43
44,1695813758486,1.0227051,-0.48443604,-0.15704346,-15.078125,-6.0,-32.4375,Respeck,Descending stairs,-1,s1862623,,44
45,1695813758537,0.71240234,-0.16412354,0.13665771,-9.46875,11.109375,-11.5625,Respeck,Descending stairs,-1,s1862623,,45
